Subject,Course_Number,Course_Code,Title,Credits,Description,Requisites,Equivalent_To,Additional_Information,Repeatable,Other_Notes,Description_HTML
AAAP,199,AAAP 199,Special Studies: [Topic],1-5 Credits,Experimental course - topic varies.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Experimental course - topic varies.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,404,AAAP 404,Internship: [Topic],1-12 Credits,Professional practice in an organization that integrates concepts studied at the university with career-related work experience.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Professional practice in an organization that integrates concepts studied at the university with career-related work experience.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,405,AAAP 405,Special Problems: [Topic],1-12 Credits,Specialized inquiry into a particular topic by a student and discussed with a faculty member.,,,,Repeatable 99 times when topic changes,,"<p class=""courseblockdesc"">
Specialized inquiry into a particular topic by a student and discussed with a faculty member.<br/><b>Repeatable 99 times when topic changes</b><br/>
</p>"
AAAP,406,AAAP 406,Practicum: [Topic],1-12 Credits,A series of clinical experiences under academic supervision designed to integrate theory and principles with practice.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A series of clinical experiences under academic supervision designed to integrate theory and principles with practice.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,407,AAAP 407,Seminar: [Topic],1-5 Credits,"A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,408,AAAP 408,Workshop: [Topic],1-5 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 5 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 5 times</b><br/>
</p>"
AAAP,410,AAAP 410,Experimental Course: [Topic],1-5 Credits,"Current topics are American Building Construction, American Architecture from a Preservation Perspective, Research Methods.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Current topics are American Building Construction, American Architecture from a Preservation Perspective, Research Methods.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,411,AAAP 411,Introduction to Historic Preservation,3 Credits,"History, evolution, modern concepts, and professional techniques of historic preservation.",,,,,,"<p class=""courseblockdesc"">
History, evolution, modern concepts, and professional techniques of historic preservation.<br/>
</p>"
AAAP,415,AAAP 415,Transportation and Preservation,3 Credits,Addresses compliance issues with preservation laws relating to transportation development. Includes understanding processes and negotiating needs of the resource with the needs of transportation authorities.,,,,,,"<p class=""courseblockdesc"">
Addresses compliance issues with preservation laws relating to transportation development. Includes understanding processes and negotiating needs of the resource with the needs of transportation authorities.<br/>
</p>"
AAAP,421,AAAP 421,American Architecture from a Preservation Perspective I,4 Credits,"American built environment from the colonial era to the federal period. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.",,,,,,"<p class=""courseblockdesc"">
American built environment from the colonial era to the federal period. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.<br/>
</p>"
AAAP,422,AAAP 422,American Architecture from a Preservation Perspective II,4 Credits,"American built environment from the federal period to 1893. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.",,,,,,"<p class=""courseblockdesc"">
American built environment from the federal period to 1893. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.<br/>
</p>"
AAAP,423,AAAP 423,American Architecture from a Preservation Perspective III,4 Credits,"American built environment from 1893 to the present. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.",,,,,,"<p class=""courseblockdesc"">
American built environment from 1893 to the present. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.<br/>
</p>"
AAAP,424,AAAP 424,Vernacular Architecture,3 Credits,"Examines the characteristics and origins of vernacular building types and explores the cultural meanings of these sites, particularly in light of contemporary ideas about socioeconomic issues.",,,,,,"<p class=""courseblockdesc"">
Examines the characteristics and origins of vernacular building types and explores the cultural meanings of these sites, particularly in light of contemporary ideas about socioeconomic issues.<br/>
</p>"
AAAP,431,AAAP 431,National Register Nomination,4 Credits,"Provides an overview of the National Register of Historic Places (NRHP) and the processes for documenting, evaluating, and nominating properties to the register.",Prereq: AAAP 411.,,,,,"<p class=""courseblockdesc"">
Provides an overview of the National Register of Historic Places (NRHP) and the processes for documenting, evaluating, and nominating properties to the register.<br/><b>Requisites:</b> Prereq:  <a class=""bubblelink code"" href=""/search/?P=AAAP%20411"" onclick=""return showCourse(this, 'AAAP 411');"" title=""AAAP 411"">AAAP 411</a>.<br/>
</p>"
AAAP,438,AAAP 438,Building Pathology: [Topic],4 Credits,Examines the scientific fundamentals of material properties in building construction and the application of that knowledge to the preservation of historic buildings.,,,,Repeatable 2 times for a maximum of 12 credits when topic changes,,"<p class=""courseblockdesc"">
Examines the scientific fundamentals of material properties in building construction and the application of that knowledge to the preservation of historic buildings.<br/><b>Repeatable 2 times for a maximum of 12 credits when topic changes</b><br/>
</p>"
AAAP,441,AAAP 441,Legal Issues in Historic Preservation,4 Credits,"Examines constitutional, statutory, and common law affecting historic preservation. Covers First Amendment, eminent domain, due process, police powers, regulatory ""takings,"" and aesthetic zoning.",,,,,,"<p class=""courseblockdesc"">
Examines constitutional, statutory, and common law affecting historic preservation. Covers First Amendment, eminent domain, due process, police powers, regulatory ""takings,"" and aesthetic zoning.<br/>
</p>"
AAAP,442,AAAP 442,Preservation Ethics,3 Credits,Examines professional ethics in the field of historic preservation based on theories of public policy.,,,,,,"<p class=""courseblockdesc"">
Examines professional ethics in the field of historic preservation based on theories of public policy.<br/>
</p>"
AAAP,445,AAAP 445,Preservation Economics,3 Credits,Introduces economics of historic preservation projects and the financial techniques and incentives used to rehabilitate historic properties in the United States.,,,,,,"<p class=""courseblockdesc"">
Introduces economics of historic preservation projects and the financial techniques and incentives used to rehabilitate historic properties in the United States.<br/>
</p>"
AAAP,451,AAAP 451,Historic Survey and Inventory Methodology,4 Credits,Examines how historic inventories help communities plan for wise use of historic resources. Includes complete reconnaissance and survey documentation for historic properties and development of historic context statement.,,,,,,"<p class=""courseblockdesc"">
Examines how historic inventories help communities plan for wise use of historic resources. Includes complete reconnaissance and survey documentation for historic properties and development of historic context statement.<br/>
</p>"
